[2026-04-21 10:27:55] [INFO    ] discord.client: logging in using static token
[2026-04-21 10:27:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'pokemon-trivia-bot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1488605709032493137', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1787', 'clan': None, 'bot': True, 'avatar': '3da7b2cc3b692b5ac9cae611d4b2a86b'}, 'session_type': 'normal', 'session_id': 'af754423558639e7bc6eebb9c0b38bf4', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1469043411280728187'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-east', 'newark', 'atlanta', 'us-central', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1488605709032493137', 'flags_new': '524288', 'flags': 524288}, '_trace': ['["gateway-prd-arm-us-east1-b-s894",{"micros":671871,"calls":["id_created",{"micros":930,"calls":[]},"session_lookup_time",{"micros":267,"calls":[]},"session_lookup_finished",{"micros":14,"calls":[]},"sessions-prd-gcp-us-east1-b-119",{"micros":670252,"calls":["start_session",{"micros":561823,"calls":["prd-rpc-64c4b7f996-mp2kk",{"micros":388856,"calls":["get_user",{"micros":48275},"get_guilds",{"micros":9358},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":69459},"authorized_ip_coro",{"micros":15},"pending_payments",{"micros":1644},"apex_experiments",{"micros":102605},"sessions_experiments",{"micros":9},"played_application_ids",{"micros":5},"linked_users",{"micros":4},"ad_personalization_toggles_disabled",{"micros":3},"regional_feature_config",{"micros":4}]}]},"starting_guild_connect",{"micros":41,"calls":[]},"presence_started",{"micros":41289,"calls":[]},"guilds_started",{"micros":100,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":66965,"calls":[]},"connect_finished",{"micros":66980,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":3,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2026-04-21 10:27:56] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-21 10:27:56] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: af754423558639e7bc6eebb9c0b38bf4).
[2026-04-21 10:27:56] [DEBUG   ] discord.client: Dispatching event connect
[2026-04-21 10:27:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'afk_timeout': 300, 'max_stage_video_channel_users': 50, 'emojis': [], 'stickers': [], 'embedded_activities': [], 'profile': None, 'lazy': True, 'home_header': None, 'official_message_color': None, 'inventory_settings': None, 'id': '1469043411280728187', 'hub_type': None, 'unavailable': False, 'max_members': 25000000, 'features': [], 'safety_alerts_channel_id': None, 'name': 'CS321 Group', 'incidents_data': None, 'application_id': None, 'verification_role_id': None, 'latest_onboarding_question_id': None, 'explicit_content_filter': 0, 'default_message_notifications': 0, 'premium_subscription_count': 0, 'premium_progress_bar_enabled': False, 'nsfw_level': 0, 'stage_instances': [], 'threads': [], 'roles': [{'version': 1770317642955, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1469043411280728187', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1774982378098, 'unicode_emoji': None, 'tags': {'bot_id': '1488605709032493137'}, 'position': 1, 'permissions': '292058163264', 'name': 'pokemon-trivia-bot', 'mentionable': False, 'managed': True, 'id': '1488608729153933383', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'premium_tier': 0, 'preferred_locale': 'en-US', 'icon': None, 'description': None, 'large': False, 'region': 'deprecated', 'max_video_channel_users': 25, 'experiments': {'evaluation_id': None, 'assignments': []}, 'presences': [], 'joined_at': '2026-03-31T18:39:38.168000+00:00', 'vanity_url_code': None, 'application_command_counts': {}, 'owner_id': '267385418134061067', 'premium_features': None, 'soundboard_sounds': [], 'moderator_reporting': None, 'rules_channel_id': None, 'premium_progress_bar_enabled_user_updated_at': None, 'game_application_ids': None, 'verification_level': 0, 'public_updates_channel_id': None, 'member_count': 6, 'members': [{'user': {'username': 'pokemon-trivia-bot', 'public_flags': 0, 'primary_guild': None, 'id': '1488605709032493137', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1787', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3da7b2cc3b692b5ac9cae611d4b2a86b'}, 'roles': ['1488608729153933383'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-31T18:39:38.168000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'banner': None, 'guild_scheduled_events': [], 'version': 1774982407097, 'discovery_splash': None, 'mfa_level': 0, 'channels': [{'version': 1770317642966, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1469043412136362045', 'flags': 0}, {'version': 1770317642975, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1469043412136362046', 'flags': 0}, {'version': 1770317642989, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1469043412136362045', 'name': 'general', 'last_message_id': '1496151491298201610', 'id': '1469043412136362047', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1770317642999, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1469043412136362046', 'name': 'General', 'last_message_id': None, 'id': '1469043412136362048', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1774982418267, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1469043412136362045', 'name': 'pokemon-trivia', 'last_message_id': '1496155213218840648', 'id': '1488608897856966797', 'flags': 0}], 'voice_states': [], 'activity_instances': [], 'system_channel_flags': 0, 'afk_channel_id': None, 'owner_configured_content_level': 0, 'splash': None, 'system_channel_id': '1469043412136362047', 'nsfw': False}}
[2026-04-21 10:27:56] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-21 10:27:56] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-04-21 10:27:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 3, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-04-21T14:27:58.226000+00:00', 'pinned': False, 'nonce': '1496155540567359488', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': 'Ethan', 'mute': False, 'joined_at': '2026-02-05T18:54:02.788000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1496155541108555826', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!start', 'components': [], 'channel_type': 0, 'channel_id': '1488608897856966797', 'author': {'username': 'sloth9279', 'public_flags': 0, 'primary_guild': None, 'id': '267385418134061067', 'global_name': 'sloth', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '29f3c3758b9b30e2507929792c77d964'}, 'attachments': [], 'guild_id': '1469043411280728187'}}
[2026-04-21 10:27:58] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-21 10:27:58] [DEBUG   ] discord.client: Dispatching event message
[2026-04-21 10:27:58] [DEBUG   ] discord.client: Dispatching event command
[2026-04-21 10:27:58] [DEBUG   ] discord.client: Dispatching event ready
[2026-04-21 10:27:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-04-21T14:27:58.595000+00:00', 'pinned': False, 'nonce': '9770128880176694904', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1488608729153933383'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-31T18:39:38.168000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1496155542656253972', 'flags': 0, 'embeds': [{'type': 'rich', 'title': "Who's That Pokémon?", 'image': {'width': 475, 'url': 'https://cdn.discordapp.com/attachments/1488608897856966797/1496155542895198218/silhouette.png?ex=69e8daee&is=69e7896e&hm=419ec9bebb50dfa72d9eadea853749c6c0a81aba745f53a54d816d09ab3d1ec5&', 'proxy_url': 'https://media.discordapp.net/attachments/1488608897856966797/1496155542895198218/silhouette.png?ex=69e8daee&is=69e7896e&hm=419ec9bebb50dfa72d9eadea853749c6c0a81aba745f53a54d816d09ab3d1ec5&', 'placeholder_version': 1, 'placeholder': 'AAiCBQA6AAAAAAAAAAAAAAAAB0d3iIB3SA==', 'height': 475, 'flags': 0, 'description': None, 'content_type': 'image/png'}, 'id': '1496155542656253973', 'description': 'Guess the Pokémon from the silhouette!', 'content_scan_version': 4}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1488608897856966797', 'author': {'username': 'pokemon-trivia-bot', 'public_flags': 0, 'primary_guild': None, 'id': '1488605709032493137', 'global_name': None, 'display_name_styles': None, 'discriminator': '1787', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3da7b2cc3b692b5ac9cae611d4b2a86b'}, 'attachments': [], 'guild_id': '1469043411280728187'}}
[2026-04-21 10:27:58] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-21 10:27:58] [DEBUG   ] discord.client: Dispatching event message
[2026-04-21 10:27:58] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1488608897856966797/messages with <aiohttp.formdata.FormData object at 0x1056f8410> has returned 200
[2026-04-21 10:27:58] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (62df3a8bf3cb0dd93018dd80d06039f6).
[2026-04-21 10:27:58] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1488608897856966797/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': "Who's That Pokémon?", 'description': 'Guess the Pokémon from the silhouette!', 'image': {'url': 'https://cdn.discordapp.com/attachments/1488608897856966797/1496155542895198218/silhouette.png?ex=69e8daee&is=69e7896e&hm=419ec9bebb50dfa72d9eadea853749c6c0a81aba745f53a54d816d09ab3d1ec5&', 'proxy_url': 'https://media.discordapp.net/attachments/1488608897856966797/1496155542895198218/silhouette.png?ex=69e8daee&is=69e7896e&hm=419ec9bebb50dfa72d9eadea853749c6c0a81aba745f53a54d816d09ab3d1ec5&', 'width': 475, 'height': 475, 'content_type': 'image/png', 'placeholder': 'AAiCBQA6AAAAAAAAAAAAAAAAB0d3iIB3SA==', 'placeholder_version': 1}, 'content_scan_version': 4}], 'timestamp': '2026-04-21T14:27:58.595000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1496155542656253972', 'channel_id': '1488608897856966797', 'author': {'id': '1488605709032493137', 'username': 'pokemon-trivia-bot', 'avatar': '3da7b2cc3b692b5ac9cae611d4b2a86b', 'discriminator': '1787', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '9770128880176694904'}
[2026-04-21 10:27:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-04-21T14:27:58.979000+00:00', 'pinned': False, 'nonce': '16284933807425823802', 'mentions': [{'username': 'sloth9279', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': 'Ethan', 'mute': False, 'joined_at': '2026-02-05T18:54:02.788000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '267385418134061067', 'global_name': 'sloth', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '29f3c3758b9b30e2507929792c77d964'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1488608729153933383'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-31T18:39:38.168000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1496155544266997952', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '<@267385418134061067>, your trivia game has started! Use `!guess <name>` to answer, `!hint` for help, or `!end` to stop your game.', 'components': [], 'channel_type': 0, 'channel_id': '1488608897856966797', 'author': {'username': 'pokemon-trivia-bot', 'public_flags': 0, 'primary_guild': None, 'id': '1488605709032493137', 'global_name': None, 'display_name_styles': None, 'discriminator': '1787', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3da7b2cc3b692b5ac9cae611d4b2a86b'}, 'attachments': [], 'guild_id': '1469043411280728187'}}
[2026-04-21 10:27:58] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-21 10:27:58] [DEBUG   ] discord.client: Dispatching event message
[2026-04-21 10:27:59] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1488608897856966797/messages with {"content":"<@267385418134061067>, your trivia game has started! Use `!guess <name>` to answer, `!hint` for help, or `!end` to stop your game.","components":[],"nonce":"16284933807425823802","enforce_nonce":true,"tts":false} has returned 200
[2026-04-21 10:27:59] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1488608897856966797/messages has received {'type': 0, 'content': '<@267385418134061067>, your trivia game has started! Use `!guess <name>` to answer, `!hint` for help, or `!end` to stop your game.', 'mentions': [{'id': '267385418134061067', 'username': 'sloth9279', 'avatar': '29f3c3758b9b30e2507929792c77d964', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 0, 'global_name': 'sloth', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#000000', 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2026-04-21T14:27:58.979000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1496155544266997952', 'channel_id': '1488608897856966797', 'author': {'id': '1488605709032493137', 'username': 'pokemon-trivia-bot', 'avatar': '3da7b2cc3b692b5ac9cae611d4b2a86b', 'discriminator': '1787', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '16284933807425823802'}
[2026-04-21 10:27:59] [DEBUG   ] discord.client: Dispatching event command_completion
[2026-04-21 10:28:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-04-21T14:28:02.567000+00:00', 'pinned': False, 'nonce': '1496155558690947072', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': 'Ethan', 'mute': False, 'joined_at': '2026-02-05T18:54:02.788000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1496155559316033576', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!hint', 'components': [], 'channel_type': 0, 'channel_id': '1488608897856966797', 'author': {'username': 'sloth9279', 'public_flags': 0, 'primary_guild': None, 'id': '267385418134061067', 'global_name': 'sloth', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '29f3c3758b9b30e2507929792c77d964'}, 'attachments': [], 'guild_id': '1469043411280728187'}}
[2026-04-21 10:28:02] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-21 10:28:02] [DEBUG   ] discord.client: Dispatching event message
[2026-04-21 10:28:02] [DEBUG   ] discord.client: Dispatching event command
[2026-04-21 10:28:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-04-21T14:28:02.607000+00:00', 'pinned': False, 'nonce': '16045374038270299950', 'mentions': [{'username': 'sloth9279', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': 'Ethan', 'mute': False, 'joined_at': '2026-02-05T18:54:02.788000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '267385418134061067', 'global_name': 'sloth', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '29f3c3758b9b30e2507929792c77d964'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1488608729153933383'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-31T18:39:38.168000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1496155559483801682', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': "<@267385418134061067>, Hint 1: this pokémon's main pokedex color is **Red**.", 'components': [], 'channel_type': 0, 'channel_id': '1488608897856966797', 'author': {'username': 'pokemon-trivia-bot', 'public_flags': 0, 'primary_guild': None, 'id': '1488605709032493137', 'global_name': None, 'display_name_styles': None, 'discriminator': '1787', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3da7b2cc3b692b5ac9cae611d4b2a86b'}, 'attachments': [], 'guild_id': '1469043411280728187'}}
[2026-04-21 10:28:02] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-21 10:28:02] [DEBUG   ] discord.client: Dispatching event message
[2026-04-21 10:28:02] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1488608897856966797/messages with {"content":"<@267385418134061067>, Hint 1: this pok\u00e9mon's main pokedex color is **Red**.","components":[],"nonce":"16045374038270299950","enforce_nonce":true,"tts":false} has returned 200
[2026-04-21 10:28:02] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1488608897856966797/messages has received {'type': 0, 'content': "<@267385418134061067>, Hint 1: this pokémon's main pokedex color is **Red**.", 'mentions': [{'id': '267385418134061067', 'username': 'sloth9279', 'avatar': '29f3c3758b9b30e2507929792c77d964', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 0, 'global_name': 'sloth', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#000000', 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2026-04-21T14:28:02.607000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1496155559483801682', 'channel_id': '1488608897856966797', 'author': {'id': '1488605709032493137', 'username': 'pokemon-trivia-bot', 'avatar': '3da7b2cc3b692b5ac9cae611d4b2a86b', 'discriminator': '1787', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '16045374038270299950'}
[2026-04-21 10:28:02] [DEBUG   ] discord.client: Dispatching event command_completion
[2026-04-21 10:28:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-04-21T14:28:06.819000+00:00', 'pinned': False, 'nonce': '1496155576642568192', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': 'Ethan', 'mute': False, 'joined_at': '2026-02-05T18:54:02.788000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1496155577150083072', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!end', 'components': [], 'channel_type': 0, 'channel_id': '1488608897856966797', 'author': {'username': 'sloth9279', 'public_flags': 0, 'primary_guild': None, 'id': '267385418134061067', 'global_name': 'sloth', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '29f3c3758b9b30e2507929792c77d964'}, 'attachments': [], 'guild_id': '1469043411280728187'}}
[2026-04-21 10:28:06] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-21 10:28:06] [DEBUG   ] discord.client: Dispatching event message
[2026-04-21 10:28:06] [DEBUG   ] discord.client: Dispatching event command
[2026-04-21 10:28:07] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 9, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-04-21T14:28:06.994000+00:00', 'pinned': False, 'nonce': '4141805799970594770', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1488608729153933383'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-31T18:39:38.168000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1496155577884082247', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'Game Ended', 'image': {'width': 475, 'url': 'https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/101.png', 'proxy_url': 'https://images-ext-1.discordapp.net/external/22m9Mc-Ru7f0TEW0szlks6tNmqc8SGS9zWlPWulbuhA/https/raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/101.png', 'placeholder_version': 1, 'placeholder': '7heGDQI6O5WfdGI8p1ywewi4B0d3iIB3SA==', 'height': 475, 'flags': 0, 'content_type': 'image/png'}, 'id': '1496155577884082248', 'description': 'the pokémon was **Electrode**.'}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1488608897856966797', 'author': {'username': 'pokemon-trivia-bot', 'public_flags': 0, 'primary_guild': None, 'id': '1488605709032493137', 'global_name': None, 'display_name_styles': None, 'discriminator': '1787', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3da7b2cc3b692b5ac9cae611d4b2a86b'}, 'attachments': [], 'guild_id': '1469043411280728187'}}
[2026-04-21 10:28:07] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-21 10:28:07] [DEBUG   ] discord.client: Dispatching event message
